item,catalogo,descricao,descricao_detalhada
1,446626,Ovo processado,"Ovo processado, origem: codorna, apresentação: em conserva"
2,467577,Ovo,"Ovo, origem: galinha, grupo: branco, classe: A, tipo: grande."
3,446652,Queijo Processado UHT em cubos com 17 g,"Queijo Processado UHT em cubos com 17 g, contendo nome do fabricante, data de fabricação, lote, informações nutricionais e data de validade (Tipo polenguinho ou similar)."
4,446647,Queijo tipo Parmesão,"Queijo tipo Parmesão, apresentação sólido (peça inteira)."
5,447072,Queijo,"Queijo, origem: de vaca, variedade: coalho, tipo: fresco, apresentação: peça."
6,446653,Queijo,"Queijo, origem: de vaca, variedade: cream cheese, apresentação: cremoso."
7,446665,Queijo,"Queijo, origem: de vaca, variedade: gorgonzola, apresentação: peça (Tipo Tirolez ou de qualidade equivalente ou superior)."
8,446661,Queijo,"Queijo, origem: de vaca, variedade: minas, tipo: fresco, apresentação: peça, teor gordura: baixo teor de gordura."
9,446634,Queijo,"Queijo, origem: de vaca, variedade: muçarela, apresentação: peça, teor gordura: baixo teor de gordura."
10,446640,Queijo,"Queijo, origem: de vaca, variedade: prato, apresentação: peça, teor gordura: baixo teor de gordura."
11,446680,Queijo,"Queijo, origem: de vaca, variedade: provolone, apresentação: peça."
12,481586,Carne processada,"Carne processada, tipo patê, ingredientes carne bovina/suína /ovina/presunto/miúdos bovinos,, prazo validade 12 meses."
13,447789,Frios,"Frios, variedade mortadela, tipo bologna, tipo preparação defumado, apresentação peça inteira, estado de conservação resfriado(a)"
14,447796,Frios,"Frios, variedade salame, tipo italiano, tipo preparação curado, apresentação fatiado, estado de conservação resfriado(a)"
15,447792,Frios,"Frios, variedade: peito de peru, tipo preparação defumado, apresentação peça inteira, estado de conservação resfriado(a)"
16,447775,Tipo Preparação: Cozido,"Tipo Preparação: Cozido , Apresentação: Peça Inteira , Estado De Conservação: Resfriado(A)"
17,453599,Manteiga,"Manteiga, tipo de garrafa, composição com sal garrafa 500g. Participação Exclusiva ME/EPP"
18,446384,Manteiga,"Manteiga, tipo extra, composição com sal embalagem 500g."
19,216793,Requeijão cremoso,"Requeijão cremoso, ingredientes: leite desnatado, creme de leite, manteiga, cloreto de sódio(sal), fermento lácteo, estabilizantes difosfato dissódico, polifosfato de sódio e fosfato trissódico e conservadores ácido sórbico e nisina."
20,463699,Margarina,"Margarina, composição básica óleos vegetais polinsaturados, estabilizante lecitina de soja, conservante sorbato de potássio, antioxidante ácido cítrico,características adicionais com sal/cremosa, 80% de gordura, embalagem de 500g"
21,331367,Requeijão cremoso (tipo catupiry),"Requeijão cremoso (tipo catupiry), bisnaga com 1,8kg. Ingredientes: leite desnatado, creme de leite, creme de soro de leite, gordura vegetal, amido modificado, amido, sal( cloreto de sódio), condimento preparado sabor queijo, estabilizante pirofosfato, tetrassodio, conservador sorbato de potássio, conservador nisina e corante natural de urucum, não contém glúten."
22,482783,Iogurte natural,"Iogurte natural, teor gordura: integral, sabor: sortidos componentes: com polpa ou pedaços de fruta."
23,339482,Bebida láctea,"Bebida láctea, fermentada, com polpa de fruta, sabores diversos, embalagem de filme flexível de polietileno leitoso de 1 litro, deve constar na embalagem a data de fabricação e prazo de validade de no mínimo 6 meses, com registro no ministério da agricultura, SIF ou CISPOA ou SIM."
24,312777,Leite Condensado Tipo: Integral,"Leite Condensado Tipo: Integral , Ingrediente Básico: Leite In Natura"
25,415887,Coalhada,"Coalhada, ingredientes:leite integral, conservação:1 a 10ºC, prazo validade:30 dias (fechado)."
1ª,5 (cinco) dias após recebimento da solicitação formal ou Nota de Empenho,25% da quantidade total item solicitado,25% da quantidade total item solicitado
2ª,5 (cinco) dias após recebimento da solicitação formal ou Nota de Empenho,25% da quantidade total item solicitado,25% da quantidade total item solicitado
3ª,5 (cinco) dias após recebimento da solicitação formal ou Nota de Empenho,25% da quantidade total item solicitado,25% da quantidade total item solicitado
4ª,5 (cinco) dias após recebimento da solicitação formal ou Nota de Empenho,25% da quantidade total item solicitado,25% da quantidade total item solicitado
