item,catalogo,descricao,descricao_detalhada
6/2025,JOAN PINHEIRO TEIXEIRA,787010-CENTRO DE INTENDÊNCIA DA MARINHA EM BRASÍLIA,787010-CENTRO DE INTENDÊNCIA DA MARINHA EM BRASÍLIA
Status,Status,Status,Status
Outras informações,Outras informações,Outras informações,Outras informações
1,467079,Carne bovina in natura,"Carne bovina in natura, tipo corte , alcatra apresentação peça inteira, estado de conservação congelado (a)"
2,447492,Carne bovina in natura,"Carne bovina in natura, tipo corte , bucho apresentação peça"
3,447495,Carne bovina in natura,"Carne bovina in natura, tipo corte , rabo apresentação cortada, estado de conservação congelado(a)"
4,447431,Carne bovina in natura,"Carne bovina in natura, tipo corte , coxão mole apresentação peça inteira, estado de conservação congelado (a)."
5,447412,Carne bovina in natura,"Carne bovina in natura, , apresentação costela cortada, estado de conservação congelado (a)"
6,447747,Carne bovina processada,"Carne bovina processada, variedade , sabor hamburguer temperado, estado de conservação congelado (a), características adicionais sem proteína de soja"
7,447461,Carne bovina in natura,"Carne bovina in natura, tipo , contra-filé apresentação peça inteira, estado de conservação congelado (a)"
8,447441,Carne bovina in natura,"Carne bovina in natura, tipo redondo, lagarto peça inteira, estado de conservação congelado (a)"
9,451063,Carne de frango in natura,"Carne de frango in natura, tipo coxa e , estado de sobrecoxa conservação congelado (a)"
10,447581,Carne de frango in natura,"Carne de frango in natura, tipo , filé de peito estado de conservação congelado(a)"
11,447619,Carne de frango in natura,"Carne de frango in natura, tipo coxinha da , para churrasco, asa estado de conservação congelado(a)"
12,447666,,", Bacon defumado ingredientes carne suína com gordura, apresentação: em mantas"
13,447508,Carne suína in natura,"Carne suína in natura, tipo corte carré (bisteca) , apresentação fatiada, processamento com osso, estado de conservação congelado (a)"
14,447512,Carne suína in natura tipo corte: costela,"Carne suína in natura tipo corte: costela , /costelinha apresentação: cortada , estado de conservação: congelado(a)"
15,447737,Carne suina in natura,"Carne suina in natura, tipo , orelha apresentação salgada"
16,447745,Carne suina in natura,"Carne suina in natura, tipo , cortado pé salgado"
18,447518,Carne suina in natura,"Carne suina in natura, tipo , levemente lombo temperado, estado de conservação congelado (a)"
19,449183,Embutido,"Embutido, tipo: linguiça , de carne suína tamanho:fina, tipo preparação:fresca, sabor: temperada, estado de conservação:resfriado(a)"
20,447702,,", tipo Linguiça calabresa , tamanho grossa, tipo preparação defumada, características adicionais congelada."
21,449182,,", Linguiça, tipo paio ingredientes carne suina, características adicionais defumado, características adicionais congelada"
22,448888,Peixe in natura,"Peixe in natura, tipo , filé espécie pescada , tipo corte filé, amarela apresentação sem pele, estado de conservação congelado(a)"
23,448897,Peixe in natura,"Peixe in natura, tipo , filé espécie , merluza apresentação filé, de primeira qualidade, limpo, sem couro ou escamas, sem espinhas características adicionais congelado"
24,448874,Peixe in natura,"Peixe in natura, tipo , filé espécie , linguado apresentação filé, sem espinhas, características adicionais congelado"
25,447734,Carne bovina in natura,"Carne bovina in natura, carne seca bovina traseira, ponta de agulha"
26,447720,Embutido tipo: salsicha,"Embutido tipo: salsicha , tipo hot dog preparação: cozida , estado de conservação: resfriado(a)"
27,467080,Carne bovina in natura,"Carne bovina in natura, , file mignon apresentação peça inteira maturada, estado de conservação congelado(a)"
28,464493,Polpa natural congelada de,"Polpa natural congelada de , embalado em Açaí saco plástico transparente e resistente, dizeres de rotulagem, data de fabricação e prazo de validade, informação dos ingredientes e composição nutricional."
29,464475,Polpa natural congelada de,"Polpa natural congelada de , embalado em Manga saco plástico transparente e resistente, dizeres de rotulagem, data de fabricação e prazo de validade, informação dos ingredientes e composição nutricional."
30,464474,transparente e resistente,"transparente e resistente, dizeres de rotulagem, data de fabricação e prazo de validade, informação dos ingredientes e composição nutricional."
31,464461,Polpa natural congelada de,"Polpa natural congelada de , embalado Morango em saco plástico transparente e resistente, dizeres de rotulagem, data de fabricação e prazo de validade, informação dos ingredientes e composição nutricional."
32,464465,Polpa natural congelada de,"Polpa natural congelada de , embalado em Uva saco plástico transparente e resistente, dizeres de rotulagem, data de fabricação e prazo de validade, informação dos ingredientes e composição nutricional."
33,464594,Legume congelado,"Legume congelado, tipo: , preparo: pré brócolis cozido, apresentação: congelado, sem adição de sal ou temperos."
34,462825,pré- Seleta de legumes cozidos,"pré- Seleta de legumes cozidos, contendo no mínimo 3 legumes, características adicionais congelado, embalagem plástica atóxica, validade mínima de 6 meses, sem adição de sal e de temperos."
35,217269,,", sabor Mini pizza , prazo calabresa validade 1 (fechado) mês"
36,217273,,", sabor Mini pizza lombo , catupiry e mussarela, prazo validade 1 (fechado) mês para lanches, características adicionais congelada."
37,460494,,", base da Pão de queijo massa: polvilho doce ou azedo e queijo, ingredientes adicionais: com outros sabores, formato: tradicional, médio, apresentação: cru congelado."
38,462773,,", temperatura Sorvete conservação 0 a 4ºC, prazo validade 18 meses, aplicação sobremesa, ingredientes água/açúcar/glicose/leite pó/leite/ gordura, composição proteínas /lipídios/carboidratos, características adicionais valor calórico de 203,9 kcal por 100g."
39,447873,aromatizantes: aromas idênticos aos naturais e aromas naturais,"aromatizantes: aromas idênticos aos naturais e aromas naturais. não contém glúten. Embalagem: primaria: descrição da embalagem: saco de celofane próprio para assadar e saco de polietileno de alta densidade, atóxico, flexível, resistente, termosoldado.Peso líquido: variável de 3,5 a 5,0kgs.Validade: MÍNIMA DE 12 MESES CONGELADO A <= -12° C."
Valor Total,Valor Total,Valor Total,Valor Total
